pilier_predit,nombre_projets,budget_total,cout_moyen
Autre,820,1.9445769631902892e+18,2371435320963768.0
Capital humain,1311,1.9852097573938102e+17,151427136338201.0
Développement régional,1141,2.2611804719893414e+18,1981753262041491.0
Gouvernance,2174,9.770697087133829e+17,449434088644610.0
Transformation structurelle,3110,6.821034790300022e+19,2.1932587750160844e+16
